,leave,stay
356,50.762775,96.38528
357,5.7832165,21.050308
358,45.447613,71.20257
359,82.30716,86.7661
360,53.90923,73.29479
361,88.29559,87.45079
362,65.78491,74.92367
363,79.10142,78.80645
364,65.93174,74.64839
365,78.54597,78.06501
366,102.40196,96.08947
367,71.89948,70.79924
368,69.32452,99.22835
369,62.15907,63.71766
370,74.94108,100.35534
371,62.324165,63.58642
372,81.782074,101.548996
373,60.789783,61.61277
374,59.282177,100.11513
375,55.40841,57.04492
376,61.53676,99.37416
377,56.08751,57.608437
378,70.611885,100.705475
379,56.17776,57.00998
380,80.9565,102.83536
381,56.458786,56.733597
382,94.91029,105.31507
383,59.597717,58.81083
384,91.748215,103.14224
385,58.409836,56.864014
386,123.42873,115.801636
387,45.593124,44.669273
388,72.73038,108.46605
389,38.52572,39.94689
390,72.86203,107.40894
391,38.27587,40.223106
392,80.2307,110.669464
393,39.400185,40.16413
394,91.453674,113.626495
395,38.409866,38.289543
396,104.0865,115.19571
397,41.851933,41.111664
398,107.43404,114.149796
399,39.928604,38.969154
400,120.404724,116.36455
401,38.256622,37.83573
402,84.10603,114.02594
403,17.946535,30.166607
404,79.23845,115.8139
405,37.044613,35.9373
406,106.60453,118.00904
407,48.139297,46.999336
408,114.07359,117.939705
409,50.075333,48.52137
410,116.11336,117.17945
411,49.125957,47.53782
412,122.26024,117.27588
413,50.229393,48.69378
414,106.58034,110.67721
415,17.093384,43.590378
416,45.447613,71.20257
417,82.30716,86.7661
418,53.523537,72.64214
419,88.491776,87.57513
420,66.524155,75.21034
421,79.94955,79.52135
422,70.725945,75.58385
423,80.69062,79.96882
424,69.94232,74.530975
425,79.41272,78.974335
426,70.43441,74.40244
427,79.42284,78.75154
428,106.2253,99.8851
429,68.92198,66.796616
430,76.93999,104.27023
431,55.810223,57.398216
432,81.81009,104.8873
433,55.192535,56.547173
434,83.90632,105.85455
435,57.23803,58.2387
436,87.44065,106.87606
437,58.10811,58.840706
438,64.31952,103.32665
439,45.940964,47.81591
440,73.19385,104.58151
441,45.27317,46.684937
442,82.258545,105.49013
443,43.567986,44.488937
444,90.900955,109.0192
445,47.95535,47.989502
446,92.89993,108.68288
447,47.79466,47.674942
448,115.132065,115.367874
449,42.804874,42.126587
450,122.745674,116.7984
451,43.98842,43.938293
452,78.06888,115.70855
453,29.300463,32.891037
454,85.24834,115.06719
455,43.21153,43.057045
456,96.62931,116.337814
457,46.687172,45.54506
458,98.40327,115.75287
459,45.667046,44.47844
460,102.949326,115.709335
461,39.621452,38.734467
462,68.147766,108.01543
463,17.682405,28.113287
464,74.81048,108.823654
465,34.16762,34.097813
466,69.866394,105.10983
467,13.164299,29.709848
468,45.447613,71.20257
469,82.30716,86.7661
470,48.111076,72.046486
471,82.74524,86.62941
472,49.015583,72.23584
473,83.65114,86.14903
474,48.882202,71.43266
475,84.172165,84.70209
476,54.262234,72.84359
477,84.91095,84.77785
478,55.641796,73.626816
479,84.08409,83.89026
480,44.110115,60.29657
481,86.217865,86.33801
482,52.3015,61.07615
483,89.93156,89.614426
484,43.795876,60.784378
485,79.67411,79.47902
486,80.15935,91.93307
487,67.970894,67.2116
488,40.424675,87.08905
489,60.7535,62.30842
490,42.64067,87.15374
491,60.335056,61.492836
492,54.782158,88.818405
493,63.758774,64.10807
494,59.783276,89.355316
495,64.89314,65.27355
496,78.29973,93.95333
497,62.78043,62.374214
498,55.7563,73.06158
499,74.06792,72.856705
500,76.85129,87.461655
501,68.97455,67.872696
502,79.850876,87.16422
503,68.822205,67.63309
504,86.034515,86.71617
505,69.51512,68.04727
506,88.813034,84.27402
507,67.82713,66.575485
508,34.50927,83.81203
509,56.118423,57.612244
510,36.691708,84.24062
511,58.929634,59.938583
512,78.449615,105.26459
513,47.090492,46.73783
514,80.31189,105.09285
515,46.472797,45.88678
