x,y,x_velocity,y_velocity,angle,angular_velocity,left_contact,right_contact
0.16720219,0.19398595,-0.12768202,-0.3068872,0.001176461,-0.03694644,0.0,0.0
-0.08284016,1.0325112,-0.33876002,-0.6261936,-0.08074335,-0.14308234,0.0,0.0
-0.081986904,0.001364038,0.008126317,-0.04575641,0.017099934,-0.16334172,0.0,1.0
-0.3302815,0.42548335,-0.017084967,-0.16510643,-0.042708144,0.038752176,0.0,0.0
0.19856472,-0.009569934,-0.015846081,0.018736089,-0.06438988,0.061986964,1.0,1.0
0.23043069,1.0928288,0.26889652,-0.6482788,0.081938624,0.0050049825,0.0,0.0
0.10593395,-0.0024444128,0.0025728657,0.017608864,-0.008225329,0.060793776,0.0,1.0
0.0923563,-0.004365053,-0.06687799,0.01647014,0.02392974,-0.056402855,0.0,1.0
-0.12285175,4.3318272e-05,-0.0032384407,-0.00012066824,0.0014560778,0.00039341892,0.0,0.0
0.050815105,0.6107905,0.097641304,-0.6198717,0.03179842,0.051450174,0.0,0.0
0.11948194,-0.015958061,0.11125462,0.04489082,-0.10518846,-0.023148233,0.0,1.0
-0.17002106,0.18871094,0.22857897,-0.3387904,-0.030994695,-0.02936686,0.0,0.0
0.32963496,0.81545824,0.46369386,-0.6052961,0.31138358,0.022509806,0.0,0.0
-0.49133077,0.6910345,-0.055365186,-0.010373087,-0.37944022,-0.24586849,0.0,0.0
0.020853901,1.3551247,0.4125649,-0.54900646,-0.010303945,-0.014378699,0.0,0.0
0.035997678,0.001304636,-0.049109753,-0.009862893,0.013271984,-0.034944706,0.0,1.0
0.24938592,0.24565281,0.0815272,-0.38811016,0.13969077,-0.08739878,0.0,0.0
-0.13456306,0.060634743,-0.06636998,-0.03141472,-0.074407294,-0.081952706,0.0,0.0
0.17136641,0.021519838,-0.11265633,-0.01751237,0.19099799,-0.074392445,1.0,1.0
0.12227011,0.28985727,0.18194968,-0.41510767,0.06452554,0.0544933,0.0,0.0
0.023992443,-0.009819307,-0.010157986,0.019654503,0.07230304,-0.06461525,1.0,1.0
0.030348873,0.015585718,-0.15950039,-0.10653006,-0.11564558,0.078046046,0.0,0.0
0.078408144,-0.0009169483,-0.00020899824,-2.3601802e-07,0.0021384547,6.088696e-05,0.0,0.0
0.028878784,1.5082014,0.119148985,-0.08350188,0.06981858,0.09861094,0.0,0.0
-0.25289994,0.62068677,-0.07485211,-0.2103359,-0.19835266,-0.045961082,0.0,0.0
0.03813839,1.3621308,0.4618249,-0.36458188,-0.007926075,0.044208944,0.0,0.0
0.10031223,0.623061,0.13810289,-0.6362531,0.07532698,0.12572521,0.0,0.0
0.18397847,0.12164033,-0.37870234,-0.29985225,-0.017951842,-0.002921502,0.0,0.0
-0.1235344,5.6979658e-05,0.004635971,0.0002024443,0.0011010789,-0.0005987956,0.0,0.0
0.1955823,-0.019724598,0.14914982,-0.017417276,-0.14387909,-0.055072874,1.0,1.0
0.17396173,0.7128269,0.19507433,-0.5808061,0.17175032,0.13133302,0.0,0.0
0.07283859,-0.006204369,0.036973882,-0.2258176,0.011573267,-0.2838933,1.0,1.0
0.1444891,0.07169968,-0.31185046,-0.16370894,-0.016570602,-0.021584818,0.0,0.0
